Line	File Name	Source Function Name	Binary Address	Binary Function Name	Matching Rule \ Information
0662	lcode	luaK_numberK	0x1404E7B30	sub_1404E7B30	Single called (xref) option
0663	lcode	boolK	N/A	N/A	N/A
0664	lcode	nilK	N/A	N/A	N/A
0665	lcode	luaK_setreturns	0x1404E7B60	sub_1404E7B60	Score-based Matching
0666	lcode	luaK_setoneret	0x1404E7BF0	sub_1404E7BF0	Score-based Matching
0667	lcode	invertjump	0x1404E7C50	sub_1404E7C50	Neighbour matching
0668	lcode	constfolding	0x1404E7CA0	sub_1404E7CA0	Neighbour matching
0669	lcode	luaK_fixline	0x1404E7E00	sub_1404E7E00	Single called (xref) option
0670	lcode	luaK_code	0x1404E7E20	sub_1404E7E20	Single called (xref) option
0671	lcode	luaK_codeABC	0x1404E7F10	sub_1404E7F10	Single called (xref) option
0672	lcode	luaK_codeABx	0x1404E7F40	sub_1404E7F40	Neighbour matching
0673	lcode	luaK_setlist	0x1404E7F60	sub_1404E7F60	Agent - File-unique string / const
0674	lcode	luaK_nil	0x1404E8000	sub_1404E8000	Neighbour matching
0675	lcode	luaK_jump	0x1404E80A0	sub_1404E80A0	Neighbour matching
0676	lcode	luaK_ret	0x1404E8140	sub_1404E8140	Single called (xref) option
0677	lcode	condjump	N/A	N/A	N/A
0678	lcode	luaK_patchtohere	0x1404E8160	sub_1404E8160	Single called (xref) option
0679	lcode	luaK_dischargevars	0x1404E81C0	sub_1404E81C0	Single called (xref) option
0680	lcode	code_label	N/A	N/A	N/A
0681	lcode	discharge2reg	0x1404E82A0	sub_1404E82A0	Score-based Matching
0682	lcode	discharge2anyreg	0x1404E83F0	sub_1404E83F0	Neighbour matching
0683	lcode	exp2reg	0x1404E8430	sub_1404E8430	Neighbour matching
0684	lcode	luaK_exp2nextreg	0x1404E8610	sub_1404E8610	Single called (xref) option
0685	lcode	luaK_exp2anyreg	0x1404E86A0	sub_1404E86A0	Neighbour matching
0686	lcode	luaK_exp2val	0x1404E8710	sub_1404E8710	Neighbour matching
0687	lcode	luaK_exp2RK	0x1404E8790	sub_1404E8790	Score-based Matching
0688	lcode	luaK_storevar	0x1404E88D0	sub_1404E88D0	Single called (xref) option
0689	lcode	luaK_self	0x1404E89D0	sub_1404E89D0	Neighbour matching
0690	lcode	jumponcond	0x1404E8AF0	sub_1404E8AF0	Score-based Matching
0691	lcode	luaK_goiftrue	0x1404E8BD0	sub_1404E8BD0	Single called (xref) option
0692	lcode	luaK_goiffalse	0x1404E8D00	sub_1404E8D00	Neighbour matching
0693	lcode	codenot	0x1404E8E20	sub_1404E8E20	Single called (xref) option
0694	lcode	luaK_indexed	0x1404E8F20	sub_1404E8F20	Single called (xref) option
0695	lcode	codearith	0x1404E8F40	sub_1404E8F40	Single called (xref) option
0696	lcode	codecomp	0x1404E9050	sub_1404E9050	Single called (xref) option
0697	lcode	luaK_prefix	0x1404E9130	sub_1404E9130	Single called (xref) option
0698	lcode	luaK_infix	0x1404E9250	sub_1404E9250	Score-based Matching
0699	lcode	luaK_posfix	0x1404E92C0	sub_1404E92C0	Score-based Matching
0700	lcode	luaK_patchlist	0x1404E9550	sub_1404E9550	Single called (xref) option
